          FW          	CUT	SVN	Coex
rtl8822c_fw           	 D	662198272	2020
rtl8822bs_fw          	 C	1409033410	8080
rtl8733b_8723f_fw     	 C	4050559620	0707
rtl8761au8812ae_fw    	 D	19648	0006
rtl8852bps_fw         	 B	2888642280	0707
rtl8822cs_fw          	 D	662198272	2020
rtl8761at8192er_fw    	 D	22217	0007
rtl8723ds_fw          	 C	316555887	3b3b
rtl8761at_fw          	 D	22217	0007
rtl8821a_fw           	 B	19884	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8725as_fw          	 B	23166	0202
rtl8852cu_fw          	 B	1530463254	0707
rtl8821cs_fw          	 B	3738024003	5b5b
rtl8725a_fw           	 B	2772559869	0202
rtl8761au_fw          	 D	22217	0007
rtl8761b_fw           	 B	2772559869	0202
rtl8723d_fw           	 C	316555887	3b3b
rtl8761bt_fw          	 B	2772559869	0202
rtl8761aw8192eu_fw    	 D	22217	0007
rtl8733bs_8723fs_fw   	 C	4050559620	0707
rtl8852bs_fw          	 B	2888642280	0707
rtl8852bu_fw          	 B	2888642280	0707
rtl8852au_fw          	 B	4147630002	0707
rtl8761au8192ee_fw    	 D	13328	3736
rtl8822b_fw           	 C	1409033410	8080
rtl8821as_fw          	 B	19884	635d
rtl8852cs_fw          	 B	1530463254	0707
rtl8723bs_VQ0_fw      	 B	14422	5844
rtl8761a_fw           	 D	22217	0007
rtl8761bs_fw          	 B	21127	0606
rtl8723b_fw           	 B	19897	6d50
rtl8821c_fw           	 B	3738024003	5b5b
rtl8852as_fw          	 B	4147630002	0707
